Date_Time,PAR,RH,Temp,VWC
2019-12-09 09:42:00,534.7,0.35,28.2,0.188
2019-12-09 09:43:00,963.1,0.33,28.5,0.188
2019-12-09 09:44:00,1261.6,0.33,28.8,0.188
2019-12-09 09:45:00,1316.5,0.33,29,0.188
2019-12-09 09:46:00,1307.4,0.32,29,0.188
2019-12-09 09:47:00,1327.5,0.32,29,0.188
2019-12-09 09:48:00,1362.3,0.32,28.9,0.188
2019-12-09 09:49:00,1402.6,0.32,28.9,0.188
2019-12-09 09:50:00,1441,0.31,29,0.188
2019-12-09 09:51:00,1457.5,0.32,29.2,0.188
2019-12-09 09:52:00,1459.4,0.31,29.3,0.189
2019-12-09 09:53:00,1468.5,0.32,29.2,0.189
2019-12-09 09:54:00,1485,0.31,29.3,0.19
2019-12-09 09:55:00,1488.6,0.31,29.5,0.19
2019-12-09 09:56:00,1488.6,0.3,29.5,0.19
2019-12-09 09:57:00,1512.5,0.32,29.6,0.19
2019-12-09 09:58:00,1519.8,0.31,29.6,0.19
2019-12-09 09:59:00,1507,0.31,29.8,0.19
2019-12-09 10:00:00,1510.6,0.31,30,0.19
2019-12-09 10:01:00,1510.6,0.31,30.3,0.19
2019-12-09 10:02:00,1516.1,0.3,30.5,0.19
2019-12-09 10:03:00,1512.5,0.3,30.7,0.191
2019-12-09 10:04:00,1514.3,0.29,31,0.19
2019-12-09 10:05:00,1523.4,0.29,31.3,0.19
2019-12-09 10:06:00,1521.6,0.28,31.6,0.19
2019-12-09 10:07:00,1507,0.28,31.9,0.19
2019-12-09 10:08:00,1505.1,0.28,32.2,0.19
2019-12-09 10:09:00,1512.5,0.27,32.6,0.19
2019-12-09 10:10:00,1512.5,0.27,32.8,0.19
2019-12-09 10:11:00,1512.5,0.27,33.1,0.19
2019-12-09 10:12:00,1505.1,0.26,33.4,0.19
2019-12-09 10:13:00,1501.5,0.25,33.6,0.19
2019-12-09 10:14:00,1525.3,0.25,33.8,0.19
2019-12-09 10:15:00,1516.1,0.25,34,0.19
2019-12-09 10:16:00,1523.4,0.24,34.3,0.19
2019-12-09 10:17:00,1532.6,0.24,34.5,0.19
2019-12-09 10:18:00,1501.5,0.24,34.6,0.19
2019-12-09 10:19:00,1063.8,0.24,34.8,0.19
2019-12-09 10:20:00,838.6,0.24,35,0.19
2019-12-09 10:21:00,1318.4,0.24,35.3,0.19
2019-12-09 10:22:00,1490.5,0.23,35.5,0.191
2019-12-09 10:23:00,1113.3,0.23,35.7,0.191
2019-12-09 10:24:00,523.7,0.23,36,0.191
2019-12-09 10:25:00,333.3,0.23,36.2,0.191
2019-12-09 10:26:00,331.4,0.23,36.3,0.191
2019-12-09 10:27:00,340.6,0.23,36.4,0.191
2019-12-09 10:28:00,346.1,0.22,36.6,0.191
2019-12-09 10:29:00,468.8,0.23,36.8,0.191
2019-12-09 10:30:00,668.3,0.22,36.9,0.191
2019-12-09 10:31:00,708.6,0.22,37,0.191
2019-12-09 10:32:00,752.6,0.22,37,0.191
2019-12-09 10:33:00,835,0.22,37.1,0.191
2019-12-09 10:34:00,862.4,0.21,37.2,0.191
2019-12-09 10:35:00,884.4,0.21,37.2,0.191
2019-12-09 10:36:00,897.2,0.22,37.3,0.191
2019-12-09 10:37:00,891.7,0.22,37.3,0.191
2019-12-09 10:38:00,911.9,0.22,37.3,0.191
2019-12-09 10:39:00,930.2,0.21,37.2,0.191
2019-12-09 10:40:00,933.8,0.22,37,0.191
2019-12-09 10:41:00,917.4,0.21,37,0.191
2019-12-09 10:42:00,851.4,0.22,36.9,0.192
2019-12-09 10:43:00,631.7,0.21,37,0.193
2019-12-09 10:44:00,413.8,0.21,37,0.193
2019-12-09 10:45:00,362.5,0.22,37.1,0.193
2019-12-09 10:46:00,353.4,0.22,37.3,0.194
2019-12-09 10:47:00,347.9,0.21,37.3,0.194
2019-12-09 10:48:00,344.2,0.2,37.5,0.195
2019-12-09 10:49:00,344.2,0.21,37.5,0.195
2019-12-09 10:50:00,342.4,0.22,37.5,0.195
2019-12-09 10:51:00,344.2,0.22,37.5,0.195
2019-12-09 10:52:00,346.1,0.22,37.5,0.195
2019-12-09 10:53:00,347.9,0.21,37.5,0.195
2019-12-09 10:54:00,349.7,0.2,37.5,0.195
2019-12-09 10:55:00,355.2,0.2,37.5,0.195
2019-12-09 10:56:00,362.5,0.22,37.5,0.196
2019-12-09 10:57:00,373.5,0.21,37.5,0.196
2019-12-09 10:58:00,443.1,0.22,37.5,0.196
2019-12-09 10:59:00,672,0.22,37.5,0.196
2019-12-09 11:00:00,816.7,0.2,37.5,0.196
2019-12-09 11:01:00,697.6,0.21,37.4,0.196
2019-12-09 11:02:00,701.3,0.21,37.4,0.196
2019-12-09 11:03:00,853.3,0.21,37.4,0.196
2019-12-09 11:04:00,761.7,0.21,37.4,0.196
2019-12-09 11:05:00,681.2,0.21,37.2,0.196
2019-12-09 11:06:00,721.4,0.23,37.1,0.196
2019-12-09 11:07:00,661,0.22,37.1,0.196
2019-12-09 11:08:00,609.7,0.22,37.1,0.196
2019-12-09 11:09:00,620.7,0.21,37,0.196
2019-12-09 11:10:00,629.9,0.22,36.9,0.196
2019-12-09 11:11:00,629.9,0.22,36.8,0.196
2019-12-09 11:12:00,613.4,0.22,36.8,0.196
2019-12-09 11:13:00,584.1,0.22,36.9,0.196
2019-12-09 11:14:00,593.3,0.22,36.9,0.196
2019-12-09 11:15:00,576.8,0.22,37,0.196
2019-12-09 11:16:00,591.4,0.22,37,0.196
2019-12-09 11:17:00,521.9,0.23,36.8,0.196
2019-12-09 11:18:00,459.6,0.22,36.8,0.196
2019-12-09 11:19:00,441.3,0.23,36.8,0.196
2019-12-09 11:20:00,412,0.23,36.7,0.196
2019-12-09 11:21:00,377.2,0.23,36.6,0.196
2019-12-09 11:22:00,366.2,0.23,36.6,0.196
2019-12-09 11:23:00,366.2,0.23,36.7,0.196
2019-12-09 11:24:00,366.2,0.23,36.8,0.196
2019-12-09 11:25:00,369.9,0.23,36.9,0.196
2019-12-09 11:26:00,391.8,0.23,37,0.196
2019-12-09 11:27:00,772.7,0.23,37.2,0.196
2019-12-09 11:28:00,1408.1,0.22,37.4,0.196
2019-12-09 11:29:00,1642.5,0.22,37.6,0.196
2019-12-09 11:30:00,1658.9,0.23,37.6,0.196
2019-12-09 11:31:00,1620.5,0.23,37.7,0.196
2019-12-09 11:32:00,1622.3,0.23,37.7,0.196
2019-12-09 11:33:00,1664.4,0.23,37.8,0.196
